"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1N","Produced non-financial assets (net)","","N1N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1ON","Fixed assets and inventories (net)","","N1ON","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11N","Total fixed assets (net)","","N11N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11KN","Total Construction (net)","","N11KN","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N111N","Dwellings (net)","","N111N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N112N","Other buildings and structures (net)","","N112N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1121N","Buildings other than dwellings (net)","","N1121N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1122N","Other structures (net)","","N1122N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11MN","Machinery and equipment and weapons systems (net)","","N11MN","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1131N","Transport equipment (net)","","N1131N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1132N","ICT equipment (net)","","N1132N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11ON","Other machinery and equipment and weapons systems (net)","","N11ON","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N115N","Cultivated biological resources (net)","","N115N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N117N","Intellectual property products (net)","","N117N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1171N","Research and development (net)","","N1171N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1172N","Mineral exploration and evaluation (net)","","N1172N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1173N","Computer software and databases (net)","","N1173N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1174N","Entertainment, literary or artistic originals (net)","","N1174N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1179N","Other intellectual property products (net)","","N1179N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N12N","Inventories  (net)","","N12N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N13N","Valuables (net)","","N13N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1MN","Inventories and acquisitions less disposals of valuables (net)","","N1MN","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N2N","Non-produced non-financial assets (net)","","N2N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N21N","Natural resources (net)","","N21N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N211N","Land (net)","","N211N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N212N","Mineral and energy reserves (net)","","N212N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N21ON","Non-cultivated biological resources and water resources (net)","","N21ON","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N215N","Other natural resources (net)","","N215N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N22N","Contracts, leases and licences (net)","","N22N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N23N","Purchases less sales of goodwill and marketing assets (net)","","N23N","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1G","Produced non-financial assets (gross)","","N1G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1OG","Fixed assets and inventories (gross)","","N1OG","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11G","Total fixed assets (gross)","","N11G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11KG","Total Construction (gross)","","N11KG","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N111G","Dwellings (gross)","","N111G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N112G","Other buildings and structures (gross)","","N112G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1121G","Buildings other than dwellings (gross)","","N1121G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1122G","Other structures (gross)","","N1122G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11MG","Machinery and equipment and weapons systems (gross)","","N11MG","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1131G","Transport equipment (gross)","","N1131G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1132G","ICT equipment (gross)","","N1132G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11OG","Other machinery and equipment and weapons systems (gross)","","N11OG","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N115G","Cultivated biological resources (gross)","","N115G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N117G","Intellectual property products (gross)","","N117G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1171G","Research and development (gross)","","N1171G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1172G","Mineral exploration and evaluation (gross)","","N1172G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1173G","Computer software and databases (gross)","","N1173G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1174G","Entertainment, literary or artistic originals (gross)","","N1174G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1179G","Other intellectual property products (gross)","","N1179G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N12G","Inventories  (gross)","","N12G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N13G","Valuables (gross)","","N13G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N1MG","Inventories and acquisitions less disposals of valuables (gross)","","N1MG","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N2G","Non-produced non-financial assets (gross)","","N2G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N21G","Natural resources (gross)","","N21G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N211G","Land (gross)","","N211G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N212G","Mineral and energy reserves (gross)","","N212G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N21OG","Non-cultivated biological resources and water resources (gross)","","N21OG","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N215G","Other natural resources (gross)","","N215G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N22G","Contracts, leases and licences (gross)","","N22G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N23G","Purchases less sales of goodwill and marketing assets (gross)","","N23G","valid","2014-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11321N","Computer hardware (net)","","N11321N","valid","2014-09-29"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11322N","Telecommunications equipment (net)","","N11322N","valid","2014-09-29"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11321G","Computer hardware (gross)","","N11321G","valid","2014-09-29"
"http://dd.eionet.europa.eu/vocabulary/eurostat/asset10/N11322G","Telecommunications equipment (gross)","","N11322G","valid","2014-09-29"
